Number of nodes: 11501
Number of edges: 209020

Degree	Number of genes	Genes
72	37	CCR7, CCT4, CD44, CDK6, CREB3L3, EXOSC10, EZR, GRIN2A, HAP1, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BH, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BO, ITGAE, KIF5A, LAMA3, LTA, MED13L, MED15, MED20, MED21, MED23, NOC4L, PDGFA, PTTG1, RAB6A, RTF1, SMAD9, TAF1L, TAF8, TCF4, WDR36
71	16	ACTA1, CDH3, CREB3L1, CREB3L2, CXCR3, EGLN3, GOSR1, HEATR1, HSF1, KDELR3, MED11, NUMB, NXF2, TSG101, UCHL5, VWF
70	26	BLK, CCT2, COL2A1, COL4A4, EIF3E, ELL2, FGF1, FZD6, FZD7, FZD8, GABPA, IL27RA, LRP5L, MED25, MED8, NOP14, NOS3, NOTCH2, PAGR1, PNO1, POLK, RMI1, TOP2A, TRRAP, VAMP8, WRN
69	20	ARFGAP1, CCT3, COL4A5, COL5A1, COL6A3, CYCS, DMD, DNM1, EIF3B, FGF6, MED24, MED27, MED28, MED31, MPL, MYH2, PICALM, SMURF1, STX2, TNFRSF1B
68	28	AVPR2, BAZ1B, CCR3, CD74, COL4A3, CXCL12, DCN, DHX37, DKC1, FZD9, HSPA5, IL13, IRF4, LAMC1, LIMD1, LTB, MED18, NR0B2, PRKD1, SEC31A, SIN3B, SPRY2, TAF1D, UTP15, UTP6, WDR46, WNT7A, XRCC6
67	35	AFDN, ATF3, C1D, CCR1, CCR2, COL6A2, DNA2, FZD10, HLA-G, IL1B, INTS7, ITK, KCNJ3, KIF23, LEP, LRRK2, MBD3, MED19, MED7, MPHOSPH6, NABP1, NOL11, PRKCH, RAD9A, RILP, STX18, SUPT4H1, SYT2, TCP1, TNFSF14, TP53BP1, TTF1, UTP20, VAMP7, ZC3H8
66	42	CACNG2, CACNG4, CCR6, CCR9, CCT5, CDC25A, COL9A3, CREB5, DDX20, DYNC2H1, EGLN1, EIF3D, ELL3, EMG1, ESR2, GDNF, GJA1, GRIN2D, HDAC9, ICE1, ICE2, INTS1, INTS10, INTS12, INTS2, INTS3, INTS4, INTS5, INTS6, INTS8, INTS9, MAP3K3, MED29, PIP5K1C, RBL1, RPAP2, RPRD2, STX17, TCF7L1, TFIP11, VIM, ZBTB7A
65	44	ARF1, CCR10, CCR4, CCR8, CDK19, CNTFR, COL4A6, COL5A3, COPS4, CSNK1A1L, CXCR5, DDX3X, EIF2S3, EIF4H, FBXO5, FGF4, GCFC2, GOLGB1, GPS1, HMGN1, IL10RB, IMP3, KHDRBS1, KLC2, KPNB1, LAMC2, LIG3, MAD2L2, MED22, NABP2, PRKD2, RCL1, RPRD1A, SAP30, SPRED1, STX1B, TAF1C, TNKS, TRIM25, UVSSA, VHL, WDR3, WNT4, ZNF830
64	37	ADCY1, ARF4, CACNG3, CACNG8, COL9A1, COL9A2, CRTC2, DCAF13, DDX47, DRD2, EIF3C, EIF3H, ERCC5, FGF23, GNA12, HUS1, IL15RA, IL21, KCNJ5, KCNJ6, LTBR, MED9, MYB, NSF, OSMR, PBX1, PRL, PTPRC, RRP9, SNAP23, SREBF2, STX12, TAF4, TLE4, TNNI3, TRIM27, XCR1
63	43	APEX1, COL11A2, COL8A1, CXCR6, DDX52, DDX58, EIF3G, EIF3K, EIF3M, EXO1, FAM120B, FAS, FCER1G, FGF10, FGF8, FRS3, GRIN2C, GRM2, GRM7, IGF2R, IL22RA1, IL7, KCNJ9, KIF4A, KIF4B, LIG1, LRPPRC, MAFK, MCM3, MYL12A, OGT, POLA1, POU5F1, RPTOR, RRP7A, TAF1A, TBL3, TMEM115, UTP3, WNT5B, WNT8A, WNT8B, XPC
62	32	ADCY3, COL11A1, COL12A1, COL5A2, CSF3R, CTDP1, DOK1, EIF3I, FGF3, GRM3, HDAC8, HLA-C, HSPD1, IL20RB, IL21R, KDELR2, KPNA2, LY96, NFYC, NOS2, NRG1, PRMT5, RPL10L, RRP36, SP2, SPOP, TAF1B, TFRC, TPM1, WNT11, WNT3, WNT6
61	39	ADCY7, ADCY9, ANGPT1, BHLHE40, COL15A1, COL17A1, CRLF2, DLG1, EIF3J, ETV4, FGF17, FGF20, FGF9, GRM4, HIST2H2BE, HLA-B, HLA-F, IFNLR1, IL22RA2, IL9R, IRF1, L1CAM, LDLR, MLLT3, MLST8, NFKBIE, PCGF2, RBL2, RMI2, STK11, TLE3, UTP11, UTP14A, UTP4, VTI1A, WAS, WDR75, WNT2, WNT7B
60	33	ACVR2B, ADCY5, AMER1, ARPC1B, CDK5R1, CLSPN, COL10A1, CTNNA3, DNMT1, EAF2, ECSIT, EIF3L, FCF1, FGF22, FGF5, FOSL2, GPC3, IFT57, IQGAP1, LPAR1, M6PR, MYL2, NDUFA13, NELFE, PPP3CB, SLC18A3, SSRP1, STK3, STON2, TGFB2, TLE2, UBE2L6, WNT9A
