1049	BTBD2
1050	BTBD6
1051	BTBD8
1052	BTC
1053	BTF3
1054	BTG1
1055	BTG2
1056	BTG3
1057	BTG4
1058	BTK
1059	BTLA
1060	BTN1A1
1061	BTN2A1
1062	BTN3A1
1063	BTRC
1064	BUB1
1065	BUB1B
1066	BUB3
1067	BUD13
1068	BUD31
1069	BYSL
1070	BZW1
1071	BZW2
1072	C1D
1073	C1GALT1
1074	C1GALT1C1
1075	C1QA
1076	C1QB
1077	C1QBP
1078	C1QC
1079	C1QTNF1
1080	C1R
1081	C1RL
1082	C1S
1083	C2
1084	C2CD3
1085	C2CD5
1086	C3
1087	C3AR1
1088	C4A
1089	C4B
1090	C4BPA
1091	C4BPB
1092	C5
1093	C5AR1
1094	C5AR2
1095	C6
1096	C7
1097	C8A
1098	C8B
1099	C8G
1100	C9
1101	CA2
1102	CA4
1103	CA9
1104	CAB39
1105	CAB39L
1106	CABIN1
1107	CABLES1
1108	CABLES2
1109	CABP4
1110	CACNA1A
1111	CACNA1B
1112	CACNA1C
1113	CACNA1D
1114	CACNA1E
1115	CACNA1F
1116	CACNA1G
1117	CACNA1H
1118	CACNA1I
1119	CACNA1S
1120	CACNA2D1
1121	CACNA2D2
1122	CACNA2D3
1123	CACNA2D4
1124	CACNB1
1125	CACNB2
1126	CACNB3
1127	CACNB4
1128	CACNG1
1129	CACNG2
1130	CACNG3
1131	CACNG4
1132	CACNG5
1133	CACNG6
1134	CACNG7
1135	CACNG8
1136	CACTIN
1137	CACUL1
1138	CAD
1139	CADM1
1140	CADM3
1141	CADPS2
1142	CALB1
1143	CALB2
1144	CALCA
1145	CALCB
1146	CALCOCO1
1147	CALCOCO2
1148	CALCR
1149	CALCRL
1150	CALD1
1151	CALHM1
1152	CALM1
1153	CALML3
1154	CALML4
1155	CALML5
1156	CALML6
1157	CALR
1158	CALR3
1159	CALY
1160	CAMK1
1161	CAMK1D
1162	CAMK1G
1163	CAMK2A
1164	CAMK2B
1165	CAMK2D
1166	CAMK2G
1167	CAMK4
1168	CAMKK1
1169	CAMKK2
